OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength,population
296,15122,WEST MIFFLIN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32221149,-80.03642213, ,9167,631,8491,45,472,1.9.3,5,{DF2BE71D-F1BC-4056-90F7-C0698B4FDA01},361511152.4,163434.4718,17260
298,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.36961247,-80.01796048, ,3645,112,3484,49,139,1.9.3,10,{478BB633-2446-4D0B-AA3F-EFBEF91D5202},55186568.3,39471.05816,6820
302,15216,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.39606444,-79.90626658, ,11008,1817,9054,137,535,1.9.3,6,{3138C4F5-5CEE-43E0-8933-0F0E7AA1EEBA},95072943.46,80998.30854,19990
307,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.34316582,-80.13009131, ,12769,1668,10948,153,861,1.9.3,6,{2EB816EA-46E9-4C7B-886A-99FA183C4EC3},294835798.8,97983.29911,28950
309,15234,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.49616648,-79.91664792, ,6819,1034,5562,223,722,1.9.3,5,{417599F8-E171-4B7C-9BED-1E224FA43843},93918859,87467.18128,12670
313,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.53502586,-79.88243085, ,9303,1035,8024,244,651,1.9.3,6,{333855ED-238E-4219-BF3A-1B03E620B6BE},139153748.1,60034.81942,15350
336,15017,BRIDGEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.295303,-79.801633, ,7437,1216,6065,156,865,1.9.3,6,{C8461EEC-98FC-41AC-BFF6-4877D311C01A},291929182.4,124008.5898,14880
370,15215,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.41645483,-79.82407788, ,5617,544,5014,59,486,1.9.3,7,{B4B258BE-AD4C-428E-B5F6-BF42D3C37FF9},167816596.8,69647.34796,11150
376,15139,OAKMONT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4017865,-79.85603257, ,3161,465,2616,80,379,1.9.3,6,{7921DED5-1C74-4B9A-BCE0-3911444F9916},79554518.83,45520.32085,6080
460,15028,COULTERS,PO BOX,PA,42,42003,ALLEGHENY,150,40.64717864,-80.0953598,,87,,1,86,3,1.9.3,6,{C6C99F73-FF1E-4BF8-B844-F3B6496E9EF9},8293716.108,15909.87668,170
527,15145,TURTLE CREEK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.38040138,-80.12099328, ,3559,307,3164,88,236,1.9.3,17,{E2ED0CB5-5DDA-4EF4-AE3F-BA6BF6002261},57210408.35,66680.25476,5720
